StudentID,Priority,Nacionality,AdmissionGrade,Relocated,SpecialNeeds,HasDebt,PayTuition,Gender,HasScholarship,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Relationship,MothersHigherEducation,FathersHigherEducation,Dropout
5971,1,1,15,1,0,0,1,1,0,1.0203795676993588,5.229624106812563,14.796215347801592,5.255967179735621,11.5996792868855,0.0,1.0874616347369042,5.393588067065515,6.659908123595853,7.196124779902836,14.203258868136958,0.0,13.898735803053633,0.2594367327304885,-0.904831298534444,4,0,0,0
5656,1,1,12,0,0,0,0,1,0,0.0,5.229624106812563,13.73934282295862,4.204773743788497,9.044304394477557,0.0,0.0,5.393588067065515,11.416985354735749,0.0,0.0,1.138214196975588,9.265823868702425,1.2107047527422798,1.711311368967318,3,0,0,1
3885,1,1,16,0,0,1,0,1,0,0.0,5.229624106812563,7.398107673900796,4.204773743788497,10.853165273373069,0.0,0.0,5.393588067065515,5.708492677367874,0.0,0.0,6.829285181853527,10.89592251227044,3.199719703676026,-1.67197087772669,3,0,0,1
6574,1,1,10,0,0,0,1,0,0,0.0,4.358020089010469,5.284362624214855,5.255967179735621,8.843319852378054,0.0,0.0,4.494656722554597,10.465569908507767,3.598062389951418,12.087879887776134,0.0,9.265823868702425,1.2107047527422798,1.711311368967318,4,0,0,0
6095,2,1,11,1,0,0,0,1,0,0.0,5.229624106812563,6.341235149057825,0.0,0.0,0.0,0.0,5.393588067065515,0.0,0.0,0.0,0.0,7.635725225134403,1.2107047527422798,3.4521281063651066,4,0,0,1
6284,1,1,13,0,0,1,0,1,0,0.0,6.101228124614656,11.62559777327268,4.204773743788497,9.64725802077606,0.0,0.0,6.292519411576435,8.562739016051811,7.196124779902836,12.515992300468206,0.0,13.898735803053633,0.2594367327304885,-0.904831298534444,4,0,0,1
5901,1,1,17,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92545849768182,-0.2594367327304885,0.776974702002403,4,0,1,0
3919,1,1,11,1,0,0,1,1,0,0.0,5.229624106812563,8.454980198743767,6.307160615682745,9.78124771550906,0.0,0.0,5.393588067065515,5.708492677367874,7.196124779902836,14.278808117435558,0.0,9.523207865055266,0.5188734654609771,1.986694807651714,4,0,0,0
3448,1,1,13,0,0,1,1,1,0,3.0611387030980763,5.229624106812563,6.341235149057825,6.307160615682745,9.78124771550906,0.0,2.1749232694738083,5.393588067065515,6.659908123595853,7.196124779902836,12.390076884970536,0.0,11.92545849768182,-0.2594367327304885,0.776974702002403,4,0,0,0
6875,3,1,11,1,0,0,1,1,1,0.0,6.101228124614656,10.56872524842971,6.307160615682745,9.934378795203918,0.0,0.0,7.191450756087354,8.562739016051811,8.395478909886641,13.749963372345352,0.0,11.92545849768182,-0.2594367327304885,0.776974702002403,4,0,0,0
5422,1,1,10,0,0,1,1,1,0,1.0203795676993588,5.229624106812563,9.511852723586738,4.204773743788497,9.64725802077606,0.0,1.0874616347369042,5.393588067065515,12.368400800963729,2.398708259967612,11.105739646894325,0.0,6.520394574272074,2.2484516836642343,0.314723929925024,4,0,0,1
4410,1,1,15,0,0,0,1,1,0,7.142656973895512,9.587644195823032,11.62559777327268,11.563127795418367,11.035878493463525,0.0,4.349846538947617,7.191450756087354,7.611323569823832,9.594833039870448,15.600919980161072,0.0,10.638538515917595,0.4323945545508142,1.760486983018103,4,0,0,0
4090,1,1,13,1,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.064698552389146,-0.6918312872813028,-3.0685583167689843,4,0,0,1
6908,1,1,13,1,0,0,1,1,1,0.0,6.101228124614656,10.56872524842971,6.307160615682745,10.116221952341562,0.0,0.0,7.191450756087354,7.611323569823832,8.395478909886641,13.40243682557179,0.0,11.92545849768182,-0.2594367327304885,0.776974702002403,4,0,0,0
7509,1,1,15,0,0,0,1,0,1,0.0,5.229624106812563,9.511852723586738,6.307160615682745,10.897828504950732,0.0,0.0,5.393588067065515,6.659908123595853,7.196124779902836,13.39740020895188,0.0,11.92545849768182,-0.2594367327304885,0.776974702002403,4,0,0,0
5017,2,1,14,1,0,0,1,1,1,0.0,5.229624106812563,7.398107673900796,6.307160615682745,10.853165273373069,0.0,0.0,5.393588067065515,6.659908123595853,7.196124779902836,15.26094835831737,0.0,13.898735803053633,0.2594367327304885,-0.904831298534444,4,0,0,0
4535,2,1,12,0,0,0,1,0,1,0.0,4.358020089010469,8.454980198743767,4.204773743788497,10.853165273373069,0.0,0.0,5.393588067065515,9.514154462279793,7.196124779902836,14.411019303708107,0.0,9.523207865055266,0.5188734654609771,1.986694807651714,4,0,0,0
6661,1,1,14,0,0,0,1,1,0,0.0,5.229624106812563,6.341235149057825,6.307160615682745,9.78124771550906,0.0,0.0,5.393588067065515,5.708492677367874,7.196124779902836,13.221118627255146,0.0,13.898735803053633,0.2594367327304885,-0.904831298534444,4,1,1,0
6070,1,1,11,1,0,0,1,1,0,0.0,5.229624106812563,8.454980198743767,6.307160615682745,9.111299241844057,0.0,0.0,5.393588067065515,11.416985354735749,4.797416519935224,14.543230489980662,0.0,7.635725225134403,1.2107047527422798,3.4521281063651066,4,0,0,1
4515,1,1,11,0,0,0,1,1,0,0.0,5.229624106812563,8.454980198743767,5.255967179735621,10.129620921814862,0.0,0.0,5.393588067065515,9.514154462279793,7.196124779902836,13.145569377956546,0.0,13.298173144896994,2.42140950548456,-3.9930598609237418,4,0,0,0
7408,2,1,11,1,0,0,1,1,0,0.0,5.229624106812563,9.511852723586738,6.307160615682745,9.78124771550906,0.0,0.0,5.393588067065515,8.562739016051811,7.196124779902836,11.634584391984529,0.0,7.635725225134403,1.2107047527422798,3.4521281063651066,4,0,0,0
6223,3,1,12,1,0,0,1,1,0,0.0,5.229624106812563,6.341235149057825,6.307160615682745,11.65710344177107,0.0,0.0,5.393588067065515,6.659908123595853,5.99677064991903,12.69227388216494,0.0,10.638538515917595,0.4323945545508142,1.760486983018103,4,1,1,0
